video_id	sentence_id	text	label	start	end	speaker
-iY9MrIHc8c	-iY9MrIHc8c_0_24	so yes uh last time we	0	274.753	276.135	0
-iY9MrIHc8c	-iY9MrIHc8c_0_25	time we spoke about food is it so	0	282.308	284.931	1
-iY9MrIHc8c	-iY9MrIHc8c_0_26	a session with you on the ninth if i'm	0	295.881	297.163	0
-iY9MrIHc8c	-iY9MrIHc8c_0_27	yeah the session was on last	0	303.343	304.645	1
-iY9MrIHc8c	-iY9MrIHc8c_0_28	little hyper in the session your energy was a little so i remember the session very clearly so are you	0	310.504	319.607	0
-iY9MrIHc8c	-iY9MrIHc8c_0_29	should i call you ms	0	324.804	326.491	0
-iY9MrIHc8c	-iY9MrIHc8c_0_30	tell me are you the kind	0	331.243	332.787	0
-iY9MrIHc8c	-iY9MrIHc8c_0_31	in a family that's what	0	358.413	359.298	0
-iY9MrIHc8c	-iY9MrIHc8c_0_32	like what what actually happens boys generally go for the things actually they want and girls want to explore more when they go for shopping so this is the gap which actually we i mean we don't like to do shopping together	0	360.654	378.455	1
-iY9MrIHc8c	-iY9MrIHc8c_0_33	very very long trip and i'm going to be	0	390.156	392.037	0
-iY9MrIHc8c	-iY9MrIHc8c_0_34	that is where the two	0	408.743	409.508	0
-iY9MrIHc8c	-iY9MrIHc8c_0_35	right to when stone me and here i	0	413.651	416.159	1
-iY9MrIHc8c	-iY9MrIHc8c_0_36	things you were lacking in	0	428.331	430.436	0
-iY9MrIHc8c	-iY9MrIHc8c_0_37	yes i'm lacking in vocabulary	0	432.82	434.905	1
-iY9MrIHc8c	-iY9MrIHc8c_0_38	yeah i know you told me	0	438.601	439.422	0
-iY9MrIHc8c	-iY9MrIHc8c_0_39	i want an honest answer	0	470.693	471.696	0
-iY9MrIHc8c	-iY9MrIHc8c_0_40	ever bought in your life for yourself expensive for myself or for the family	0	478.253	484.908	0
-iY9MrIHc8c	-iY9MrIHc8c_0_41	for you or for your	0	489.19	490.111	0
-iY9MrIHc8c	-iY9MrIHc8c_0_42	for my husband i bought raven glasses	0	491.533	494.637	1
-iY9MrIHc8c	-iY9MrIHc8c_0_43	how they want to say it so maybe don't compare	0	509.057	512.924	0
-iY9MrIHc8c	-iY9MrIHc8c_0_44	bought that jewelry for me so if	0	544.649	547.613	1
-iY9MrIHc8c	-iY9MrIHc8c_0_45	else's financial support or independently i have bought those pair	0	571.529	575.677	0
-iY9MrIHc8c	-iY9MrIHc8c_0_46	what about the latest thing you bought	0	585.774	587.757	0
-iY9MrIHc8c	-iY9MrIHc8c_0_47	i did a lot of	0	590.504	591.285	1
-iY9MrIHc8c	-iY9MrIHc8c_0_48	can say yes this monday so i went	0	605.594	608.158	1
-iY9MrIHc8c	-iY9MrIHc8c_0_49	okay i think i'm a guy so i	0	621.459	623.16	0
-iY9MrIHc8c	-iY9MrIHc8c_0_50	things i purchased so this is all about my shopping this is all about my recent	0	627.285	632.694	1
-iY9MrIHc8c	-iY9MrIHc8c_0_51	heels is that what you're	0	641.321	642.363	1
-iY9MrIHc8c	-iY9MrIHc8c_0_52	oh you got ballet shoes are you	0	650.066	651.267	0
-iY9MrIHc8c	-iY9MrIHc8c_0_53	so nice like my sister used to do ballet so i was really intrigued by that i was really curious about	0	656.05	663.845	0
-iY9MrIHc8c	-iY9MrIHc8c_0_54	so we call them ballet	0	665.111	666.175	1
-iY9MrIHc8c	-iY9MrIHc8c_0_55	my sister used to do it i would just	0	671.158	672.882	0
-iY9MrIHc8c	-iY9MrIHc8c_0_56	mean the pronunciation which i'm doing right now is	0	676.612	679.418	1
-iY9MrIHc8c	-iY9MrIHc8c_0_57	are you talking about the	0	680.301	681.383	0
-iY9MrIHc8c	-iY9MrIHc8c_0_58	about the dance i'm not talking	0	685.06	686.561	1
-iY9MrIHc8c	-iY9MrIHc8c_0_59	bellies not ballet the ballet	0	694.749	696.592	1
-iY9MrIHc8c	-iY9MrIHc8c_0_60	that's what i said i said my sister loves like	0	698.635	701.399	0
-iY9MrIHc8c	-iY9MrIHc8c_0_61	we are talking about shopping	0	740.675	741.596	0
-iY9MrIHc8c	-iY9MrIHc8c_0_62	if you're buying something for you yourself like if i'm buying something for myself so we should not go it for exchange and exchange and exchange like some people do so they buy something they come home they get confused and they again go for exchanging that thing so you're saying that should not be allowed yes that should not be allowed some some some some terms and conditions should be there as some of	0	764.827	795.508	1
-iY9MrIHc8c	-iY9MrIHc8c_0_63	sort of experience so can i	0	813.426	814.628	0
-iY9MrIHc8c	-iY9MrIHc8c_0_64	no just like that a	0	816.669	818.597	1
-iY9MrIHc8c	-iY9MrIHc8c_0_65	have some sort of germs like a	0	822.553	825.444	0
-iY9MrIHc8c	-iY9MrIHc8c_0_66	are going on that's why so this is because	0	831.289	834.036	1
-iY9MrIHc8c	-iY9MrIHc8c_0_67	should change you're saying they should	0	840.472	842.175	0
-iY9MrIHc8c	-iY9MrIHc8c_0_68	what is coming to us in online like if i'm shopping if i'm doing shopping through online mode so i never know what is going to come like if i'm new on	0	869.153	878.801	1
-iY9MrIHc8c	-iY9MrIHc8c_0_69	like a section on online you're talking about only offline shops or online as	0	910.327	914.375	0
-iY9MrIHc8c	-iY9MrIHc8c_0_70	i'm talking about only offline shops	0	916.098	918.0	1
-iY9MrIHc8c	-iY9MrIHc8c_0_71	how would they know that	0	919.941	920.922	0
-iY9MrIHc8c	-iY9MrIHc8c_0_72	should be some record like like there should be	0	924.164	927.048	1
-iY9MrIHc8c	-iY9MrIHc8c_0_73	in this case what people should do like shopkeepers is this uh this is your suggestion by the way i'm just making it more efficient uh let's say i'm a shopkeeper and you buy a pretty dress from my shop for your sister or for your cousin whatever it doesn't matter right or your best friend you can tell me it's a gift and i can give you a	0	938.459	960.051	0
-iY9MrIHc8c	-iY9MrIHc8c_0_74	and would you mind to tell me	0	1013.54	1017.586	1
-iY9MrIHc8c	-iY9MrIHc8c_0_75	to get one more thing slow it down a little bit don't rush it everything else seems fine your vocabulary will eventually get better don't focus on it right now	0	1030.276	1042.584	0
-q_U1rCIXpI	-q_U1rCIXpI_0_0	can i call myself a keralite if i don't know malayalam	0	4.325	6.472	1
-q_U1rCIXpI	-q_U1rCIXpI_0_1	have a lot of favorite players after a long	0	24.103	26.566	1
-q_U1rCIXpI	-q_U1rCIXpI_0_2	pulled it off but he was fit	0	29.933	31.318	0
-q_U1rCIXpI	-q_U1rCIXpI_0_3	my name is sahil as you know uh i currently reside in delhi but i'm actually from kerala and i	0	55.407	61.783	1
-q_U1rCIXpI	-q_U1rCIXpI_0_4	of kerala my district name is and where uh which part of kerala	0	68.9	73.008	0
-q_U1rCIXpI	-q_U1rCIXpI_0_5	place is in surnur it's near thrissur	0	75.455	78.404	1
-q_U1rCIXpI	-q_U1rCIXpI_0_6	and but most places uh	0	81.212	82.897	1
-q_U1rCIXpI	-q_U1rCIXpI_0_7	yesterday also i had one session with	0	88.33	90.132	0
-q_U1rCIXpI	-q_U1rCIXpI_0_8	nowadays more people are there	0	93.035	96.661	0
-q_U1rCIXpI	-q_U1rCIXpI_0_9	with kerala like me i would say a handful of them like quite a lot	0	100.967	107.864	1
-q_U1rCIXpI	-q_U1rCIXpI_0_10	from kerala as well for like two years i have	0	127.379	130.226	1
-q_U1rCIXpI	-q_U1rCIXpI_0_11	kerala uh right now i'm doing a business i wasn't there uh	0	148.616	154.373	0
-q_U1rCIXpI	-q_U1rCIXpI_0_12	did you come up with	0	158.565	159.568	1
-q_U1rCIXpI	-q_U1rCIXpI_0_13	start with small business given	0	162.979	165.244	0
-q_U1rCIXpI	-q_U1rCIXpI_0_14	you tell me a little bit about your interests and hobbies	0	181.289	185.081	1
-q_U1rCIXpI	-q_U1rCIXpI_0_15	i would like to watch movies and i	0	187.589	190.921	0
-q_U1rCIXpI	-q_U1rCIXpI_0_16	okay so you follow sports you follow cricket yes yes cricket is my favorite fair enough so have you been	0	194.493	202.834	1
-q_U1rCIXpI	-q_U1rCIXpI_0_17	favourite cricket player is ms dhoni i like everyone but my favourite person is ms dhoni nowadays	0	205.981	213.359	0
-q_U1rCIXpI	-q_U1rCIXpI_0_18	error methods are being done by the indian team for example they have been experimenting with the captains they have been experimenting with the players can you can you	0	230.464	241.003	1
-q_U1rCIXpI	-q_U1rCIXpI_0_19	happened on the last day last we had a match with new zealand right so rohit shatmar lead the captaincy and	0	259.43	270.944	0
-q_U1rCIXpI	-q_U1rCIXpI_0_20	have the knowledge about it and i follow cricket and since i would see out for the results and everything because	0	309.353	314.597	1
-q_U1rCIXpI	-q_U1rCIXpI_0_21	because of his composure because of you know he actually led gujarat	0	324.614	330.182	1
-q_U1rCIXpI	-q_U1rCIXpI_0_22	victory yeah and it's not an easy thing to do so because of that i feel like even he's a	0	333.246	338.318	1
-q_U1rCIXpI	-q_U1rCIXpI_0_23	like messi i'm a big fan	0	355.076	358.246	0
-q_U1rCIXpI	-q_U1rCIXpI_0_24	your team won the last	0	360.613	361.735	1
-q_U1rCIXpI	-q_U1rCIXpI_0_25	yeah yeah after a long	0	370.205	371.107	1
-q_U1rCIXpI	-q_U1rCIXpI_0_26	know we took it at my test and all that you know even i'm the brazilian i had a lot of pressure and all the things and i cannot imagine how the fans of absentee people out there had a situation	0	378.861	390.568	0
-q_U1rCIXpI	-q_U1rCIXpI_0_27	with that it's a very	0	415.595	416.978	1
-q_U1rCIXpI	-q_U1rCIXpI_0_28	i was there almost five	0	425.82	427.304	0
-q_U1rCIXpI	-q_U1rCIXpI_0_29	as a safety you were a	0	428.93	430.778	1
-q_U1rCIXpI	-q_U1rCIXpI_0_30	so as a safety person	0	433.127	434.088	1
-q_U1rCIXpI	-q_U1rCIXpI_0_31	there and this minute risk will be there you have to uh	0	459.975	463.202	0
-q_U1rCIXpI	-q_U1rCIXpI_0_32	prefer uae life or do	0	480.25	481.312	1
-q_U1rCIXpI	-q_U1rCIXpI_0_33	know even though people are going abroad because they are having some issue on financially and something else you know if you're going abroad we have more	0	486.104	498.217	0
-q_U1rCIXpI	-q_U1rCIXpI_0_34	no no no i have never	0	510.096	511.218	1
-q_U1rCIXpI	-q_U1rCIXpI_0_35	and before this clapping what do you do now	0	513.584	516.611	0
-q_U1rCIXpI	-q_U1rCIXpI_0_36	quit my job like it	0	531.073	532.135	1
-q_U1rCIXpI	-q_U1rCIXpI_0_37	yeah always asking to me why what is the reason behind the joint	0	542.774	547.51	0
-q_U1rCIXpI	-q_U1rCIXpI_0_38	to people and that is	0	557.983	559.145	1
-q_U1rCIXpI	-q_U1rCIXpI_0_39	part of india we are getting some	0	582.451	583.934	0
-q_U1rCIXpI	-q_U1rCIXpI_0_40	uh you're understanding there's some a lot of things you can learn and it's not only like you know globally also a lot of people like i get to talk to a	0	590.731	599.161	1
-q_U1rCIXpI	-q_U1rCIXpI_0_41	around that try to do this and uh apart from that you know grammatically also things are quite appropriate so it's better for	0	655.297	664.751	1
-q_U1rCIXpI	-q_U1rCIXpI_0_42	no i don't have any question to you	0	701.218	702.681	0
-q_U1rCIXpI	-q_U1rCIXpI_0_43	think that's it from my end as well it	0	705.668	708.253	0
-q_U1rCIXpI	-q_U1rCIXpI_0_44	thank you for giving advice	0	711.595	713.257	0
-q_U1rCIXpI	-q_U1rCIXpI_0_45	was lovely talking to you	0	714.978	715.799	1
-qxklAasPJw	-qxklAasPJw_0_0	how are you doing how	0	2.548	3.51	1
-qxklAasPJw	-qxklAasPJw_0_1	yeah really good what's your	0	5.815	6.697	1
-qxklAasPJw	-qxklAasPJw_0_2	nice to meet you what's your name	0	8.761	9.923	0
-qxklAasPJw	-qxklAasPJw_0_3	nice to meet you too david i'm alex	0	10.58	12.004	1
-qxklAasPJw	-qxklAasPJw_0_4	where are you from david	0	14.409	15.332	1
-qxklAasPJw	-qxklAasPJw_0_5	uh i'm from korea where are	0	15.352	17.096	0
-qxklAasPJw	-qxklAasPJw_0_6	england pretty different right nice so um what is your situation now you're	0	18.379	24.572	1
-qxklAasPJw	-qxklAasPJw_0_7	korea coronavirus is not that terrible	0	30.638	32.542	0
-qxklAasPJw	-qxklAasPJw_0_8	that's pretty lucky to be honest	0	34.347	35.651	1
-qxklAasPJw	-qxklAasPJw_0_9	i went to school today	0	37.072	38.094	0
-qxklAasPJw	-qxklAasPJw_0_10	at home now are you	0	39.296	39.997	1
-qxklAasPJw	-qxklAasPJw_0_11	now i'm at home now it is	0	40.976	42.76	0
-qxklAasPJw	-qxklAasPJw_0_12	be like eight pm right	0	43.121	44.644	1
-qxklAasPJw	-qxklAasPJw_0_13	oh yeah eight pm how did you know	0	45.166	46.749	0
-qxklAasPJw	-qxklAasPJw_0_14	korea sometimes yesterday i spoke with a guy	0	48.672	50.779	1
-qxklAasPJw	-qxklAasPJw_0_15	that's cool that's why i know the thai	0	52.494	54.501	0
-qxklAasPJw	-qxklAasPJw_0_16	yeah i think cambly is	0	55.143	56.909	1
-qxklAasPJw	-qxklAasPJw_0_17	oh yeah i think so too	0	59.324	60.566	0
-qxklAasPJw	-qxklAasPJw_0_18	yeah but i think korean people	0	63.504	65.027	1
-qxklAasPJw	-qxklAasPJw_0_19	saying that how old are you by the	0	79.021	81.445	1
-qxklAasPJw	-qxklAasPJw_0_20	good for a thirteen year	0	85.689	86.69	1
-qxklAasPJw	-qxklAasPJw_0_21	problem um so you said that uh schools are open now what is everything	0	90.057	95.224	1
-qxklAasPJw	-qxklAasPJw_0_22	yeah where i live everything	0	98.137	99.921	0
-qxklAasPJw	-qxklAasPJw_0_23	oh yeah i can go anywhere	0	106.233	107.235	0
-qxklAasPJw	-qxklAasPJw_0_24	yeah that's cool so you	0	107.756	108.817	1
-qxklAasPJw	-qxklAasPJw_0_25	oh yeah if i wear	0	110.918	111.979	0
-qxklAasPJw	-qxklAasPJw_0_26	everybody wanted to spend time with their	0	144.198	146.084	1
-qxklAasPJw	-qxklAasPJw_0_27	other good thing is that we have about forty percent of	0	166.569	169.936	1
-qxklAasPJw	-qxklAasPJw_0_28	soon you know because of coronavirus last summer i didn't go to swim or i didn't go to anywhere this summer i left	0	187.23	195.467	0
-qxklAasPJw	-qxklAasPJw_0_29	um for me i had	0	201.322	203.808	1
-qxklAasPJw	-qxklAasPJw_0_30	so you can play football with your friends and playing	0	236.608	239.155	0
-qxklAasPJw	-qxklAasPJw_0_31	got bad again so now you can go outside at the moment in the uk everything is closed except supermarkets but you can	0	260.559	269.977	1
-qxklAasPJw	-qxklAasPJw_0_32	cambly because because of coronavirus you can't go outside so you	0	283.324	287.353	0
-qxklAasPJw	-qxklAasPJw_0_33	it was impossible to find a job because everything has been opening	0	303.57	309.021	1
-qxklAasPJw	-qxklAasPJw_0_34	for you because you can	0	321.312	322.253	0
-qxklAasPJw	-qxklAasPJw_0_35	teach from home so it's been	0	326.997	329.161	0
-qxklAasPJw	-qxklAasPJw_0_36	oh wow yeah that sounds	0	336.593	338.619	0
-qxklAasPJw	-qxklAasPJw_0_37	about you what have you been what are your hobbies what	0	340.665	343.112	1
-qxklAasPJw	-qxklAasPJw_0_38	is soccer i like to play soccer with my friends and i also like	0	348.34	353.847	0
-qxklAasPJw	-qxklAasPJw_0_39	a sport or is that just	0	360.62	361.563	1
-qxklAasPJw	-qxklAasPJw_0_40	yeah throwing a ball and back	0	363.868	365.091	0
-qxklAasPJw	-qxklAasPJw_0_41	so is what are the most popular	0	371.242	373.987	1
-qxklAasPJw	-qxklAasPJw_0_42	is the most popular sports like the	0	379.926	381.188	1
-qxklAasPJw	-qxklAasPJw_0_43	top five well let me	0	383.112	385.035	0
-qxklAasPJw	-qxklAasPJw_0_44	the one where you race in	0	402.247	403.569	1
-qxklAasPJw	-qxklAasPJw_0_45	a pretty small sucker what was	0	405.812	408.816	1
-qxklAasPJw	-qxklAasPJw_0_46	an interesting sport i don't think that's very popular in the uk	0	412.468	415.674	1
-qxklAasPJw	-qxklAasPJw_0_47	really is it popular in the uk	0	416.776	417.998	0
-qxklAasPJw	-qxklAasPJw_0_48	so in the uk i'll give you a quick top five we like football cricket rugby what else i think	0	419.235	428.373	1
-qxklAasPJw	-qxklAasPJw_0_49	hockey and tennis i saw some players playing	0	434.478	438.906	0
-qxklAasPJw	-qxklAasPJw_0_50	when i was at school you play all different types of sports each semester you change which sport you play so one	0	444.693	453.744	1
-qxklAasPJw	-qxklAasPJw_0_51	myself i'm crazy about football i love football i love playing it i love watching it and i also	0	462.034	468.206	1
-qxklAasPJw	-qxklAasPJw_0_52	it's nice so you were	0	476.796	478.12	1
-qxklAasPJw	-qxklAasPJw_0_53	all like baseball and dodgeball is pretty popular in	0	492.635	496.463	0
-qxklAasPJw	-qxklAasPJw_0_54	is popular like swimming fest and what else let me	0	513.253	520.019	0
-qxklAasPJw	-qxklAasPJw_0_55	like fit and healthy and	0	530.081	531.866	1
-qxklAasPJw	-qxklAasPJw_0_56	yeah korean people do like exercise and sports	0	534.924	537.146	0
-qxklAasPJw	-qxklAasPJw_0_57	nice to go outside and play	0	563.817	565.198	1
-qxklAasPJw	-qxklAasPJw_0_58	outside and play sports like soccer and now winter is almost over	0	570.17	574.956	0
-qxklAasPJw	-qxklAasPJw_0_59	do you get much free	0	582.322	585.111	1
-qxklAasPJw	-qxklAasPJw_0_60	so i can do exercise and sport and	0	593.372	596.335	0
-qxklAasPJw	-qxklAasPJw_0_61	cambly i mean your english seems very very good so have	0	600.381	605.755	1
-qxklAasPJw	-qxklAasPJw_0_62	have been to cambly for ten months ten months i think ten months what do you	0	610.359	616.485	0
-qxklAasPJw	-qxklAasPJw_0_63	routine with cambly do you	0	635.137	636.398	1
-qxklAasPJw	-qxklAasPJw_0_64	is that your preferred way of doing	0	648.442	650.907	1
-qxklAasPJw	-qxklAasPJw_0_65	i want to hear lots of	0	654.093	655.135	0
-qxklAasPJw	-qxklAasPJw_0_66	south of england so in case you were wondering about my accent i am from the south so this is a typical southern english accent so this is like	0	663.254	671.428	1
-qxklAasPJw	-qxklAasPJw_0_67	so what do you find easiest which accent to	0	701.813	707.375	1
-qxklAasPJw	-qxklAasPJw_0_68	easiest to understand i think american accent is pretty easy	0	711.912	717.027	0
-qxklAasPJw	-qxklAasPJw_0_69	yesterday he told me that you guys learn american english	0	722.644	725.974	1
-qxklAasPJw	-qxklAasPJw_0_70	why it's the easiest because it's	0	728.594	730.303	1
-qxklAasPJw	-qxklAasPJw_0_71	i think that is pretty	0	733.909	734.831	0
-qxklAasPJw	-qxklAasPJw_0_72	accent too what do you mean learn to learn	0	740.701	743.266	1
-qxklAasPJw	-qxklAasPJw_0_73	do you mean learn to understand the	0	755.549	756.912	1
-qxklAasPJw	-qxklAasPJw_0_74	learn and listen and speak if i	0	760.405	763.393	0
-qxklAasPJw	-qxklAasPJw_0_75	would be cool so when you go to england you can speak like an english person and when you go	0	764.643	768.558	1
-qxklAasPJw	-qxklAasPJw_0_76	i wish i could do	0	772.498	773.4	0
-qxklAasPJw	-qxklAasPJw_0_77	go to an english speaking country have you got any idea where	0	777.729	781.296	1
-qxklAasPJw	-qxklAasPJw_0_78	think of that idea every time i want to visit united	0	785.544	789.137	0
-qxklAasPJw	-qxklAasPJw_0_79	would like to visit america that would be really cool i would also	0	795.527	802.636	1
-qxklAasPJw	-qxklAasPJw_0_80	fun things and we can also	0	825.359	826.84	0
-qxklAasPJw	-qxklAasPJw_0_81	been traveling a few times before where i've found something in a country which i love and i don't know i feel like	0	838.939	847.75	1
-qxklAasPJw	-qxklAasPJw_0_82	if i grow up maybe i like to be a	0	864.376	867.284	0
-qxklAasPJw	-qxklAasPJw_0_83	you been to any cool places outside of korea	0	869.747	871.909	1
-qxklAasPJw	-qxklAasPJw_0_84	oh yeah i've been to	0	874.355	875.658	0
-qxklAasPJw	-qxklAasPJw_0_85	you know guam is it	0	877.001	878.384	0
-qxklAasPJw	-qxklAasPJw_0_86	heard of guam but is it	0	882.747	883.728	1
-qxklAasPJw	-qxklAasPJw_0_87	is guam a country itself	0	889.992	891.055	0
-qxklAasPJw	-qxklAasPJw_0_88	because i need to know these things because people know that i study geography and if	0	915.93	920.254	1
-uY1utYk41I	-uY1utYk41I_0_0	i'm good i'm good thank you where are you from i am from rajasthan rajasthan where in rajasthan and what number of session is this	0	4.195	15.74	0
-uY1utYk41I	-uY1utYk41I_0_1	just the third one so how are your	0	19.96	21.563	0
-uY1utYk41I	-uY1utYk41I_0_2	is going according to my expectation what i expected to this	0	25.448	28.914	1
-uY1utYk41I	-uY1utYk41I_0_3	third one maybe i have another all right so uh apart from taking sessions here what do you do	0	34.826	43.247	0
-uY1utYk41I	-uY1utYk41I_0_4	than four to five guys i mean	0	55.664	58.085	1
-uY1utYk41I	-uY1utYk41I_0_5	voice is getting merged i'm not	0	64.12	65.865	0
-uY1utYk41I	-uY1utYk41I_0_6	happening here right now it	0	67.269	68.754	1
-uY1utYk41I	-uY1utYk41I_0_7	so daily on the i mean on my daily basis i would like to talk to with like i have five to four friends uh with	0	71.673	79.761	1
-uY1utYk41I	-uY1utYk41I_0_8	cricket matches so that's why	0	96.707	98.111	1
-uY1utYk41I	-uY1utYk41I_0_9	please try to watch something which is originally in english and not the dubbed version honestly telling you it's an excellent source of practice so like you mentioned i don't understand what they are saying in	0	134.172	147.823	0
-uY1utYk41I	-uY1utYk41I_0_10	how many times should i watch that movie like one time two times	0	163.26	167.504	1
-uY1utYk41I	-uY1utYk41I_0_11	understand and as you moved forward you were able to understand then it's you can watch it one more time so that becomes you've	0	172.825	180.462	0
-uY1utYk41I	-uY1utYk41I_0_12	okay have you ever watched any	0	199.457	201.32	0
-uY1utYk41I	-uY1utYk41I_0_13	maybe not never i'm not	0	205.166	207.009	1
-uY1utYk41I	-uY1utYk41I_0_14	one change that we want in your schedule please try to add at least	0	212.895	216.842	0
-uY1utYk41I	-uY1utYk41I_0_15	day i should watch one movie	0	224.944	226.67	1
-uY1utYk41I	-uY1utYk41I_0_16	a web series web series	0	230.101	231.605	0
-uY1utYk41I	-uY1utYk41I_0_17	some cricket-related speeches like tuvirat kohli roy sharma because i would love	0	241.473	246.961	1
-uY1utYk41I	-uY1utYk41I_0_18	just talks in life this is not what happens in life you have to talk right one person to the other so i personally don't recommend watching speeches podcasts motivational speeches they don't really help what you need is a two-way conversation so if you'll watch web series or movies at least you will see people conversing with each	0	257.018	281.462	0
-uY1utYk41I	-uY1utYk41I_0_19	okay so that in that	0	285.407	286.99	0
-uY1utYk41I	-uY1utYk41I_0_20	think about it like you know	0	306.279	307.681	1
-uY1utYk41I	-uY1utYk41I_0_21	do you see yourself well what do you think you are right	0	312.556	319.742	0
-uY1utYk41I	-uY1utYk41I_0_22	what because like out of them like they are beginners so whenever they speak because	0	333.082	339.87	1
-uY1utYk41I	-uY1utYk41I_0_23	to hold my nerve you get impatient	0	347.229	350.373	0
-uY1utYk41I	-uY1utYk41I_0_24	but like whatever i have in my mind i can speak with fluency but whenever i didn't practice with like imperative sentences or something like	0	357.788	366.357	1
-uY1utYk41I	-uY1utYk41I_0_25	and i'm not able to	0	370.003	371.611	1
-uY1utYk41I	-uY1utYk41I_0_26	you have to start watching web series and movies would be a great thing because you actually listen to what the other person	0	381.443	387.144	0
-uY1utYk41I	-uY1utYk41I_0_27	said that i should watch some	0	389.604	391.646	1
-uY1utYk41I	-uY1utYk41I_0_28	exactly so there will be	0	393.448	395.29	0
-uY1utYk41I	-uY1utYk41I_0_29	so you have to judge if you	0	397.552	400.325	0
-uY1utYk41I	-uY1utYk41I_0_30	able to understand the movie without subtitles better now	0	417.033	419.655	0
-uY1utYk41I	-uY1utYk41I_0_31	know that he can know i mean he is able to	0	489.666	492.311	1
-uY1utYk41I	-uY1utYk41I_0_32	that's true see ultimately hindi becomes our escape if the person is not able to understand	0	531.148	537.855	0
-uY1utYk41I	-uY1utYk41I_0_33	hello yeah i can hear you	0	542.744	547.296	1
-uY1utYk41I	-uY1utYk41I_0_34	watching stuff in hindi try to cut out from hindi more and more whatever you're watching whatever you're reading completely exclusively in english got it this way your surrounding will be more	0	555.596	572.544	0
-uY1utYk41I	-uY1utYk41I_0_35	okay so what's your take on	0	603.516	605.398	1
-uY1utYk41I	-uY1utYk41I_0_36	you the headlines uh so according to you i should watch two-way conversation right yes where there are dialogues where there are people chatting yes you can watch news make it only a five to seven minutes thing not more than that because you have to stay aware with what the things are going on around the world so that's you can watch it for five seven minutes but exclusively only that is your english content	0	621.812	647.262	0
-uY1utYk41I	-uY1utYk41I_0_37	i have my show up	0	675.536	676.636	1
-uY1utYk41I	-uY1utYk41I_0_38	at my home then after seven thirty two i mean nine thirty i talk to with	0	734.64	740.977	1
-uY1utYk41I	-uY1utYk41I_0_39	to watch some commentary so this is not what you are actually trying to say you're	0	794.771	800.185	0
-wkk5heDFJQ	-wkk5heDFJQ_0_0	good morning hi good morning ma'am how are you doing i'm doing great tell me how are you fine thank you i'm fantastic	0	1.191	8.143	0
-wkk5heDFJQ	-wkk5heDFJQ_0_1	gabri tell me about yourself narendra	0	12.655	14.702	1
